"","fips_code","total_cases_per_100k","total_deaths_per_100k","E_TOTPOP","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT"
"976","20189",36682.4644549763,568.72037914692,5275,23.5,1.9,21.2,25.6,15,17,29.2,12.3,5,8,41.5,1.6,26,1.2,5.5,2.2,13.4
"977","20191",29688.6796642537,377.492561176,22517,21.3,5.2,20.6,6.5,9.3,19.3,24.2,16.6,3.4,0.4,12,2.5,8.3,1.7,4.9,1.8,15.9
"978","20193",38826.3563930695,392.057670418616,7907,17.4,0.6,17.4,5.5,10.1,17.5,23.7,15.2,3.8,1.2,9.3,1.9,7.7,0.2,3.2,5.5,12
"979","20195",33952.8234453181,536.097212294496,2798,14.4,2.6,13.6,5.5,7.7,27.6,18.8,14,2.8,0,3.4,2.8,3.2,0,2.8,2.5,14.4
"980","20197",28994.5102571511,346.720600982375,6922,11.2,3,15.1,3.4,8.1,21,23.2,17.6,3.4,0.2,9.6,0.9,5.8,2,2.3,1.7,18.3
"981","20199",33042.3102753526,537.273337810611,1489,25.4,2.2,9.5,7.4,4.4,24.8,23.4,18.2,0.6,1.2,10.9,1.2,6.3,1.8,4.1,1.5,11.8
"982","20201",29661.7833242901,488.334237655996,5529,15.9,1.8,12.3,6.5,5.6,23.8,22.7,14.2,3.5,1.4,7.7,1,2.6,2.1,3,2.4,26.8
"983","20203",28437.3533552323,516.189582355702,2131,23.8,2.3,20,11.8,8,23.2,23.7,20.1,3.7,3.7,28.1,0.5,11.1,3.9,1.5,1.1,6.8
"984","20205",40048.4596746279,657.6670128072,8667,26.9,3.7,22,8.7,6.6,22.3,23.9,19.5,6.4,0.1,9,1,11.9,1.7,5.4,1.9,25.3
"985","20207",33216.3369495852,542.437779195916,3134,24.1,6.2,16.7,8,8.6,25,20.5,20.2,4.3,0.4,7.6,1.8,10.6,0.6,5,0.5,19
"986","20209",32778.3366768062,318.473233366471,167989,28.8,5.7,29.8,18.6,17.5,13,27.2,13.9,8.2,8,60.9,11.1,2.7,4.3,8,0.9,14.6
"987","21001",42420.7126595013,619.473712077091,18887,32.1,6.6,20.9,13.9,7.5,19.4,20.3,22,4.2,0.1,8.4,1.5,18.6,2.2,5.5,6.6,18.1
"988","21003",41635.7772108025,611.370529052135,20773,26.6,7.3,22.4,13.5,8.2,17.6,23,18.5,8,0.4,5.9,1.6,19.9,2.6,6.4,0.9,20.3
"989","21005",36209.5725491841,335.584546331642,23839,20.9,5.4,20.8,8.9,3.5,16.2,23.2,18.3,6.8,0,7.3,0.8,5.6,1,1.9,0.4,12.7
"990","21007",22926.8922758977,490.829243089641,7742,25.9,5.2,18,7.9,3.7,22.3,20.1,17.1,4.8,0,8.1,0.4,20.5,2.7,5.4,1.5,14.8
"991","21009",39832.8503066658,577.38536541529,44511,31.9,4.9,24.5,15.3,8.7,17.8,23.4,21.2,7.2,0.8,10.7,2.5,12.9,2.8,6.7,1.5,15.7
"992","21011",37710.9663238873,431.745034932099,12739,33.6,2.9,17.1,18.6,8,16.9,25.2,22.6,4.8,0.2,5.1,1.8,31,2.4,9.5,0.6,18.6
"993","21013",46618.2777961069,729.957109864731,24248,42.5,10,25.8,21.8,6.2,18.7,21.7,25.4,5.4,0,6.7,2.4,21.7,1.7,7.7,2.9,25.8
"994","21015",35369.8127065736,266.617701065002,136150,11.9,2.8,17.6,6.2,5.3,14.2,25.7,12.2,5.7,1.4,14.4,11.2,3.8,1.9,3.3,0.8,7.9
"995","21017",39005.3391338738,375.716828158987,20228,28,5.5,27,14.7,3.4,18.9,22.6,20.1,5.2,0.5,15.6,0.8,6.3,3.7,5.1,1,17.8
"996","21019",48575.9296878239,451.888396003482,48242,26.8,6.9,23.3,11.3,5.4,19.9,21.5,21.9,7.6,0.2,7.8,4.9,10.1,1,8.7,3.6,13.9
"997","21021",37800.934243622,565.119393721622,30613,25.3,6.2,27.5,9.6,5.9,18.8,20.2,17.3,7.2,0.5,15.5,2.3,5.3,0.4,5.8,9.4,15.5
"998","21023",33230.403800475,344.418052256532,8420,27.8,6.2,17.5,12,4.1,17,23.5,17,5.7,0,4.5,2.6,25.9,1.9,2.6,0.3,16.6
"999","21025",40640.648011782,567.01030927835,13580,38.3,8.9,18.6,20.5,3.7,17.9,20.4,30.6,6.3,0.1,3.9,1.1,38.4,3.6,13.3,2.2,25.1
"1000","21027",32998.8308651598,433.554169914264,20528,34.6,7.7,16.1,14.9,8.3,19.3,22.6,21,5.8,0.7,7,1.2,27.5,2.2,4.9,1.5,22.7
"1001","21029",36015.1305739434,321.282219150845,82482,17.4,4.6,19.3,10.6,3,16.5,21.4,15.8,6.4,1,7.7,2.3,7.6,2.4,4.2,0.4,11
"1002","21031",39207.4403558431,493.327941771128,12365,32.2,5.4,17.7,19.3,11.7,18.4,22.9,19.7,4.5,2.3,6.3,2.5,25.8,2.9,6.8,1.5,24.8
"1003","21033",40751.8796992481,522.358527898694,12635,25.4,4.7,22.1,12.3,11.2,21,22.5,28,6.4,0.1,10.5,2.7,11.4,3.7,7.9,1.3,18
"1004","21035",32100.6828223323,297.228544651225,37345,31.5,4.7,25.4,9.7,7,17.1,18,18.1,5.9,0.2,11.3,4.9,14.2,1.6,5.2,8.6,17.4
"1005","21037",33064.152402225,237.323081548936,93122,17.7,3.8,24.8,6.7,4.2,16.6,20.7,13.3,5.9,0.4,8.9,14.4,2.1,1.1,6.6,3.3,11.5
